timestamp,src_ip,dst_ip,protocol,bytes
2026-07-20 10:00:00,192.168.1.25,45.77.12.8,HTTPS,512
2026-07-20 10:01:00,192.168.1.25,45.77.12.8,HTTPS,520
2026-07-20 10:02:00,192.168.1.25,45.77.12.8,HTTPS,515
2026-07-20 10:03:00,192.168.1.25,45.77.12.8,HTTPS,518
2026-07-20 10:04:00,192.168.1.25,45.77.12.8,HTTPS,522
2026-07-20 10:05:00,192.168.1.25,45.77.12.8,HTTPS,519

2026-07-20 11:13:12,192.168.1.50,142.250.74.14,HTTPS,2500
2026-07-20 11:15:47,192.168.1.50,142.250.74.14,HTTPS,1800
2026-07-20 11:18:30,192.168.1.50,142.250.74.14,HTTPS,3200
2026-07-20 11:25:10,192.168.1.50,142.250.74.14,HTTPS,900
2026-07-20 11:31:04,192.168.1.50,142.250.74.14,HTTPS,1700
